id,dist,total_time
137,2277.600931,28
138,2123.708372,26
139,1941.257582,30
140,1699.700268,24
141,1460.986311,48
142,984.368325,24
143,1210.157428,22
144,1443.946329,26
145,1682.40334,24
146,1923.793388,24
147,2138.145458,31
148,2160.246745,32
149,2210.580467,31
150,2287.283542,29
151,2387.816157,33
152,2509.315843,32
153,2648.899017,35
154,2803.866259,37
155,2971.811905,37
156,3150.6612,28
157,3338.662307,83
158,3534.355104,33
159,3736.531279,33
160,3944.193961,36
161,4103.04122,52
162,2146.267924,29
163,2122.191615,27
164,2108.563729,34
165,2116.256364,58
166,2153.146767,31
167,2217.778393,65
168,2307.8217,30
169,2420.442315,30
170,2552.653717,33
171,2701.581204,34
172,2864.618823,31
173,3039.496833,134
174,3224.289224,38
179,1785.526813,30
180,1539.839602,33
181,1356.608731,42
182,860.021657,28
183,1037.355291,28
184,1278.321556,26
185,1522.204323,27
186,1767.796934,26
187,2249.992444,296
188,2094.07193,46
189,1908.790455,98
190,1662.522481,33
191,1417.561639,45
192,918.684385,26
193,1157.359495,30
194,1399.993214,31
195,1644.834642,35
196,2108.711929,37
197,2131.118486,41
198,2182.124194,38
199,2259.793353,36
200,2361.496559,34
201,2484.2838,34
202,2625.198278,37
203,2781.486293,38
204,2950.706017,37
205,3130.761249,37
206,3319.889456,41
207,3516.627077,42
208,3719.766928,49
209,3928.315924,42
210,4087.780235,51
211,2175.193325,34
212,2151.440738,31
213,2137.999298,32
214,2145.5864,31
215,2181.980981,30
216,2245.782937,34
217,2334.746453,34
218,2446.127756,32
219,2577.021731,35
220,2724.617588,35
221,2886.354275,34
222,3059.990359,41
223,3243.615421,38
224,3435.628181,40
225,3634.699575,37
226,3839.731892,34
227,4049.819873,116
228,1820.193946,36
229,1579.906959,31
230,1401.922698,47
231,929.858726,24
232,1095.949816,27
233,1326.312934,28
234,1562.723904,27
235,2331.837473,43
236,2181.773877,54
237,2004.614926,33
238,1771.716964,32
239,1544.17648,41
240,1104.074726,37
241,1309.381915,26
242,1528.064462,28
243,2195.829228,38
244,2217.355632,36
245,2266.421408,33
246,2341.295795,34
247,2439.603656,33
248,2558.645345,33
249,2695.675426,39
250,2848.098664,35
251,3013.580263,35
252,3190.088713,36
253,3375.894844,36
254,3569.54703,35
255,3769.836336,39
256,3975.759802,36
257,4133.394156,49
258,2314.404027,32
259,2292.094512,30
260,2279.482617,32
261,2286.600315,34
262,2320.784566,34
263,2380.869799,33
264,2464.962677,35
265,2570.708268,54
266,2695.559497,33
267,2836.995065,37
268,2992.664532,36
269,3160.465314,36
270,3338.568705,47
271,3525.413593,38
272,3719.682917,37
273,3920.273077,39
275,1984.466175,82
276,1766.66522,44
278,1220.506964,26
