S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12
0.0,0.9986571241685681,0.0,0.0,0.0,0.0,0.0,0.0,4.8714981666759425e-05,0.0012178745416689856,6.935118917837279e-06,6.935118917837279e-05
0.0,0.0,0.9986571241685681,0.0,0.0,0.0,0.0,0.0,4.8714981666759425e-05,0.0012178745416689856,6.935118917837279e-06,6.935118917837279e-05
0.0,0.0,0.7486553184281843,0.25,0.0,0.0,0.0,0.0,4.878048780487805e-05,0.0012195121951219512,6.944444444444445e-06,6.944444444444444e-05
0.0,0.0,0.0,0.4986553184281842,0.5,0.0,0.0,0.0,4.878048780487805e-05,0.0012195121951219512,6.944444444444445e-06,6.944444444444444e-05
0.0,0.0,0.0,0.0,0.665321985094851,0.3333333333333333,0.0,0.0,4.878048780487805e-05,0.0012195121951219512,6.944444444444445e-06,6.944444444444444e-05
0.0,0.0,0.0,0.0,0.0,0.9217322415051074,0.07692307692307693,0.0,4.878048780487805e-05,0.0012195121951219512,6.944444444444445e-06,6.944444444444444e-05
0.0,0.0,0.0,0.0,0.0,0.0,0.7486553184281843,0.25,4.878048780487805e-05,0.0012195121951219512,6.944444444444445e-06,6.944444444444444e-05
0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.9217322415051074,4.878048780487805e-05,0.0012195121951219512,6.944444444444445e-06,6.944444444444444e-05
0.0016666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983333333333333,0.0,0.0,0.0
0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9916666666666667,0.0,0.0
0.0003333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996666666666667,0.0
0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999
